#####################################################################
# Alchemist log file - simulation started at: 2025-02-19T18:53+0000 #
#####################################################################
#
# seed = 220.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord network-diameter[max] network-diameter[mean] network-diameter[median] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] 
0.0 1 10.0 10.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN 0.0 0.0 0.0 0.0 0.0 0.00 0.00 0.00 0.00 0.00 NaN NaN NaN NaN NaN 3.00 3.00 0.00 3.00 0.00 NaN NaN NaN NaN NaN
0.0 2 9.96131493874664 7.500299324711891 1.0 1.0 1.0 5.2 5.2 0.0 5.2 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.102 0.102 0.00 0.102 0.00 5.40 2.70 14.6 2.70 3.82 0.102 0.102 0.00 0.102 0.00
1.0 2 9.96131493874664 7.500299324711891 1.0 1.0 1.0 5.2 5.2 0.0 5.2 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.102 0.101 1.72e-06 0.101 0.00131 68.8 38.2 1.87e+03 38.2 43.3 0.100 0.0751 0.00125 0.0751 0.0353
2.0 2 9.96131493874664 7.500299324711891 1.0 1.0 1.0 5.2 5.2 0.0 5.2 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.102 0.101 1.72e-06 0.101 0.00131 61.9 34.7 1.48e+03 34.7 38.4 0.100 0.0751 0.00125 0.0751 0.0353
3.0 5 10.904884865166542 3.324794665506642 2.0 2.0 2.0 13 3.3 41 0.15 6.4 4.0 2.8 1.2 3.0 1.1 3.00 0.800 1.70 0.00 1.30 0.102 0.100 6.93e-07 0.100 0.000832 61.9 13.9 731 0.00 27.0 0.100 0.0900 0.000498 0.100 0.0223
4.0 5 10.904884865166542 3.324794665506642 2.0 2.0 2.0 13 3.3 41 0.15 6.4 4.0 2.8 1.2 3.0 1.1 3.00 0.800 1.70 0.00 1.30 0.102 0.100 6.93e-07 0.100 0.000832 15.0 4.91 49.1 0.00 7.00 0.150 0.105 0.000748 0.100 0.0273
5.0 5 10.904884865166542 3.324794665506642 2.0 2.0 2.0 13 3.3 41 0.15 6.4 4.0 2.8 1.2 3.0 1.1 3.00 0.800 1.70 0.00 1.30 0.102 0.100 6.93e-07 0.100 0.000832 37.0 26.8 196 37.0 14.0 0.150 0.105 0.000748 0.100 0.0273
6.0 5 10.904884865166542 3.324794665506642 2.0 2.0 2.0 13 3.3 41 0.15 6.4 4.0 2.8 1.2 3.0 1.1 3.00 0.800 1.70 0.00 1.30 0.102 0.100 6.93e-07 0.100 0.000832 37.0 26.8 196 37.0 14.0 0.150 0.105 0.000748 0.100 0.0273
7.0 8 13.31384495382962 3.383868869228009 3.0 3.0 3.0 21 3.1 60 0.22 7.8 6.0 2.8 2.8 2.5 1.7 3.00 0.875 1.84 0.00 1.36 0.102 0.100 4.32e-07 0.100 0.000657 37.0 16.7 305 11.5 17.5 0.150 0.103 0.000434 0.100 0.0208
8.0 8 13.31384495382962 3.383868869228009 3.0 3.0 3.0 21 3.1 60 0.22 7.8 6.0 2.8 2.8 2.5 1.7 3.00 0.875 1.84 0.00 1.36 0.102 0.100 4.32e-07 0.100 0.000657 37.0 16.7 305 11.5 17.5 0.150 0.109 0.000702 0.100 0.0265
9.0 8 13.31384495382962 3.383868869228009 3.0 3.0 3.0 21 3.1 60 0.22 7.8 6.0 2.8 2.8 2.5 1.7 3.00 0.875 1.84 0.00 1.36 0.102 0.100 4.32e-07 0.100 0.000657 37.0 17.0 301 12.3 17.4 0.175 0.114 0.000956 0.100 0.0309
10.0 8 13.31384495382962 3.383868869228009 3.0 3.0 3.0 21 3.1 60 0.22 7.8 6.0 2.8 2.8 2.5 1.7 3.00 0.875 1.84 0.00 1.36 0.102 0.100 4.32e-07 0.100 0.000657 15.7 10.5 27.4 11.7 5.24 0.175 0.114 0.000956 0.100 0.0309
11.0 8 13.31384495382962 3.383868869228009 3.0 3.0 3.0 21 3.1 60 0.22 7.8 6.0 2.8 2.8 2.5 1.7 3.00 0.875 1.84 0.00 1.36 0.102 0.100 4.32e-07 0.100 0.000657 15.7 10.5 27.4 11.7 5.24 0.175 0.114 0.000956 0.100 0.0309
12.0 8 13.31384495382962 3.383868869228009 3.0 3.0 3.0 21 3.1 60 0.22 7.8 6.0 2.8 2.8 2.5 1.7 3.00 0.875 1.84 0.00 1.36 0.102 0.100 4.32e-07 0.100 0.000657 15.7 10.5 27.4 11.7 5.24 0.175 0.114 0.000956 0.100 0.0309
13.0 11 14.21395528526935 4.68339464578465 4.0 4.0 4.0 28 3.0 80 0.17 8.9 7.0 3.3 2.4 3.0 1.6 3.00 0.909 1.89 0.00 1.38 0.103 0.101 1.48e-06 0.100 0.00122 15.7 7.64 43.2 5.74 6.58 0.175 0.111 0.000702 0.100 0.0265
14.0 11 14.21395528526935 4.68339464578465 4.0 4.0 4.0 28 3.0 80 0.17 8.9 7.0 3.3 2.4 3.0 1.6 3.00 0.909 1.89 0.00 1.38 0.103 0.101 1.48e-06 0.100 0.00122 15.7 7.64 43.2 5.74 6.58 0.175 0.116 0.000842 0.100 0.0290
15.0 11 14.21395528526935 4.68339464578465 4.0 4.0 4.0 28 3.0 80 0.17 8.9 7.0 3.3 2.4 3.0 1.6 3.00 0.909 1.89 0.00 1.38 0.103 0.101 1.48e-06 0.100 0.00122 15.7 7.64 43.2 5.74 6.58 0.176 0.118 0.00109 0.100 0.0330
16.0 11 14.21395528526935 4.68339464578465 4.0 4.0 4.0 28 3.0 80 0.17 8.9 7.0 3.3 2.4 3.0 1.6 3.00 0.909 1.89 0.00 1.38 0.103 0.101 1.48e-06 0.100 0.00122 15.7 7.95 46.5 5.74 6.82 0.188 0.120 0.00122 0.100 0.0349
17.0 11 14.21395528526935 4.68339464578465 4.0 4.0 4.0 28 3.0 80 0.17 8.9 7.0 3.3 2.4 3.0 1.6 3.00 0.909 1.89 0.00 1.38 0.103 0.101 1.48e-06 0.100 0.00122 12.8 6.10 15.7 5.71 3.96 0.188 0.120 0.00122 0.100 0.0349
18.0 11 14.21395528526935 4.68339464578465 4.0 4.0 4.0 28 3.0 80 0.17 8.9 7.0 3.3 2.4 3.0 1.6 3.00 0.909 1.89 0.00 1.38 0.103 0.101 1.48e-06 0.100 0.00122 12.8 6.10 15.7 5.71 3.96 0.188 0.120 0.00122 0.100 0.0349
19.0 11 14.21395528526935 4.68339464578465 4.0 4.0 4.0 28 3.0 80 0.17 8.9 7.0 3.3 2.4 3.0 1.6 3.00 0.909 1.89 0.00 1.38 0.103 0.101 1.48e-06 0.100 0.00122 12.8 6.10 15.7 5.71 3.96 0.188 0.120 0.00122 0.100 0.0349
