#####################################################################
# Alchemist log file - simulation started at: 2025-03-03T13:29+0000 #
#####################################################################
#
# seed = 205.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord number-of-leaves network-diameter[max] network-diameter[mean] network-diameter[median] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] 
0.0 1 10.0 10.0 1.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN 0.0 0.0 0.0 0.0 0.0 0.00 0.00 0.00 0.00 0.00 NaN NaN NaN NaN NaN 3.00 3.00 0.00 3.00 0.00 NaN NaN NaN NaN NaN
0.0 2 11.851456791210996 8.32008698133544 1.0 1.0 1.0 1.0 0.16 0.16 0.0 0.16 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.102 0.102 0.00 0.102 0.00 5.40 2.70 14.6 2.70 3.82 0.102 0.102 0.00 0.102 0.00
1.0 2 11.851456791210996 8.32008698133544 1.0 1.0 1.0 1.0 0.16 0.16 0.0 0.16 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.102 0.101 1.66e-06 0.101 0.00129 68.8 38.2 1.87e+03 38.2 43.3 0.100 0.0751 0.00125 0.0751 0.0353
2.0 2 11.851456791210996 8.32008698133544 1.0 1.0 1.0 1.0 0.16 0.16 0.0 0.16 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.102 0.101 1.66e-06 0.101 0.00129 61.9 34.7 1.48e+03 34.7 38.4 0.100 0.0751 0.00125 0.0751 0.0353
3.0 5 12.235977294152553 4.6770225326064345 3.0 2.0 2.0 2.0 0.40 0.21 0.018 0.16 0.13 4.0 2.8 1.2 3.0 1.1 3.00 0.800 1.70 0.00 1.30 0.102 0.100 6.87e-07 0.100 0.000829 61.9 13.9 731 0.00 27.0 0.100 0.0900 0.000498 0.100 0.0223
4.0 5 12.235977294152553 4.6770225326064345 3.0 2.0 2.0 2.0 0.40 0.21 0.018 0.16 0.13 4.0 2.8 1.2 3.0 1.1 3.00 0.800 1.70 0.00 1.30 0.102 0.100 6.87e-07 0.100 0.000829 15.0 4.91 49.0 0.00 7.00 0.150 0.105 0.000748 0.100 0.0273
5.0 5 12.235977294152553 4.6770225326064345 3.0 2.0 2.0 2.0 0.40 0.21 0.018 0.16 0.13 4.0 2.8 1.2 3.0 1.1 3.00 0.800 1.70 0.00 1.30 0.102 0.100 6.87e-07 0.100 0.000829 37.0 26.8 196 37.0 14.0 0.150 0.105 0.000748 0.100 0.0273
6.0 5 12.235977294152553 4.6770225326064345 3.0 2.0 2.0 2.0 0.40 0.21 0.018 0.16 0.13 4.0 2.8 1.2 3.0 1.1 3.00 0.800 1.70 0.00 1.30 0.102 0.100 6.87e-07 0.100 0.000829 37.0 26.8 196 37.0 14.0 0.150 0.105 0.000748 0.100 0.0273
7.0 8 10.635070794685241 3.3981081367672608 5.0 3.0 3.0 3.0 0.64 0.23 0.041 0.19 0.20 6.0 3.3 2.5 3.5 1.6 3.00 0.875 1.84 0.00 1.36 0.102 0.100 4.31e-07 0.100 0.000657 37.0 16.7 304 11.5 17.4 0.150 0.103 0.000434 0.100 0.0208
8.0 8 10.635070794685241 3.3981081367672608 5.0 3.0 3.0 3.0 0.64 0.23 0.041 0.19 0.20 6.0 3.3 2.5 3.5 1.6 3.00 0.875 1.84 0.00 1.36 0.102 0.100 4.31e-07 0.100 0.000657 37.0 16.7 304 11.5 17.4 0.150 0.109 0.000702 0.100 0.0265
9.0 8 10.635070794685241 3.3981081367672608 5.0 3.0 3.0 3.0 0.64 0.23 0.041 0.19 0.20 6.0 3.3 2.5 3.5 1.6 3.00 0.875 1.84 0.00 1.36 0.102 0.100 4.31e-07 0.100 0.000657 37.0 16.9 301 12.3 17.4 0.175 0.114 0.000956 0.100 0.0309
10.0 8 10.635070794685241 3.3981081367672608 5.0 3.0 3.0 3.0 0.64 0.23 0.041 0.19 0.20 6.0 3.3 2.5 3.5 1.6 3.00 0.875 1.84 0.00 1.36 0.102 0.100 4.31e-07 0.100 0.000657 15.7 10.5 27.4 11.7 5.23 0.175 0.114 0.000956 0.100 0.0309
11.0 8 10.635070794685241 3.3981081367672608 5.0 3.0 3.0 3.0 0.64 0.23 0.041 0.19 0.20 6.0 3.3 2.5 3.5 1.6 3.00 0.875 1.84 0.00 1.36 0.102 0.100 4.31e-07 0.100 0.000657 15.7 10.5 27.4 11.7 5.23 0.175 0.114 0.000956 0.100 0.0309
12.0 8 10.635070794685241 3.3981081367672608 5.0 3.0 3.0 3.0 0.64 0.23 0.041 0.19 0.20 6.0 3.3 2.5 3.5 1.6 3.00 0.875 1.84 0.00 1.36 0.102 0.100 4.31e-07 0.100 0.000657 15.7 10.5 27.4 11.7 5.23 0.175 0.114 0.000956 0.100 0.0309
13.0 11 8.205670786076052 4.267725039300117 7.0 4.0 4.0 4.0 0.88 0.24 0.065 0.12 0.25 6.0 3.3 2.2 3.0 1.5 3.00 0.909 1.89 0.00 1.38 0.102 0.100 3.21e-07 0.100 0.000566 15.7 7.64 43.2 5.74 6.57 0.175 0.110 0.000711 0.100 0.0267
14.0 11 8.205670786076052 4.267725039300117 7.0 4.0 4.0 4.0 0.88 0.24 0.065 0.12 0.25 6.0 3.3 2.2 3.0 1.5 3.00 0.909 1.89 0.00 1.38 0.102 0.100 3.21e-07 0.100 0.000566 15.7 7.64 43.2 5.74 6.57 0.175 0.115 0.000838 0.100 0.0289
15.0 11 8.205670786076052 4.267725039300117 7.0 4.0 4.0 4.0 0.88 0.24 0.065 0.12 0.25 6.0 3.3 2.2 3.0 1.5 3.00 0.909 1.89 0.00 1.38 0.102 0.100 3.21e-07 0.100 0.000566 15.7 7.64 43.2 5.74 6.57 0.175 0.117 0.00107 0.100 0.0327
16.0 11 8.205670786076052 4.267725039300117 7.0 4.0 4.0 4.0 0.88 0.24 0.065 0.12 0.25 6.0 3.3 2.2 3.0 1.5 3.00 0.909 1.89 0.00 1.38 0.102 0.100 3.21e-07 0.100 0.000566 15.7 7.94 46.4 5.74 6.81 0.188 0.119 0.00120 0.100 0.0346
17.0 11 8.205670786076052 4.267725039300117 7.0 4.0 4.0 4.0 0.88 0.24 0.065 0.12 0.25 6.0 3.3 2.2 3.0 1.5 3.00 0.909 1.89 0.00 1.38 0.102 0.100 3.21e-07 0.100 0.000566 12.8 6.00 15.5 5.65 3.93 0.188 0.119 0.00120 0.100 0.0346
18.0 11 8.205670786076052 4.267725039300117 7.0 4.0 4.0 4.0 0.88 0.24 0.065 0.12 0.25 6.0 3.3 2.2 3.0 1.5 3.00 0.909 1.89 0.00 1.38 0.102 0.100 3.21e-07 0.100 0.000566 12.8 6.00 15.5 5.65 3.93 0.188 0.119 0.00120 0.100 0.0346
19.0 11 8.205670786076052 4.267725039300117 7.0 4.0 4.0 4.0 0.88 0.24 0.065 0.12 0.25 6.0 3.3 2.2 3.0 1.5 3.00 0.909 1.89 0.00 1.38 0.102 0.100 3.21e-07 0.100 0.000566 12.8 6.00 15.5 5.65 3.93 0.188 0.119 0.00120 0.100 0.0346
20.0 11 8.205670786076052 4.267725039300117 7.0 4.0 4.0 4.0 0.88 0.24 0.065 0.12 0.25 6.0 3.3 2.2 3.0 1.5 3.00 0.909 1.89 0.00 1.38 0.102 0.100 3.21e-07 0.100 0.000566 12.8 6.00 15.5 5.65 3.93 0.188 0.119 0.00120 0.100 0.0346
21.0 12 7.482786782947662 4.942339073943884 7.0 5.0 5.0 5.0 0.96 0.24 0.073 0.13 0.27 6.0 3.2 2.3 3.0 1.5 3.00 0.917 1.72 0.00 1.31 0.102 0.100 5.49e-07 0.100 0.000741 12.8 5.50 17.1 4.47 4.13 0.188 0.117 0.00111 0.100 0.0333
22.0 12 7.482786782947662 4.942339073943884 7.0 5.0 5.0 5.0 0.96 0.24 0.073 0.13 0.27 6.0 3.2 2.3 3.0 1.5 3.00 0.917 1.72 0.00 1.31 0.102 0.100 5.49e-07 0.100 0.000741 12.8 5.50 17.1 4.47 4.13 0.188 0.113 0.00147 0.100 0.0383
23.0 12 7.482786782947662 4.942339073943884 7.0 5.0 5.0 5.0 0.96 0.24 0.073 0.13 0.27 6.0 3.2 2.3 3.0 1.5 3.00 0.917 1.72 0.00 1.31 0.102 0.100 5.49e-07 0.100 0.000741 12.8 5.50 17.1 4.47 4.13 0.188 0.111 0.00135 0.100 0.0368
24.0 12 7.482786782947662 4.942339073943884 7.0 5.0 5.0 5.0 0.96 0.24 0.073 0.13 0.27 6.0 3.2 2.3 3.0 1.5 3.00 0.917 1.72 0.00 1.31 0.102 0.100 5.49e-07 0.100 0.000741 12.8 5.50 17.1 4.47 4.13 0.188 0.110 0.00122 0.100 0.0350
25.0 12 7.482786782947662 4.942339073943884 7.0 5.0 5.0 5.0 0.96 0.24 0.073 0.13 0.27 6.0 3.2 2.3 3.0 1.5 3.00 0.917 1.72 0.00 1.31 0.102 0.100 5.49e-07 0.100 0.000741 14.2 5.74 21.1 4.47 4.59 0.181 0.109 0.00115 0.100 0.0339
26.0 12 7.482786782947662 4.942339073943884 7.0 5.0 5.0 5.0 0.96 0.24 0.073 0.13 0.27 6.0 3.2 2.3 3.0 1.5 3.00 0.917 1.72 0.00 1.31 0.102 0.100 5.49e-07 0.100 0.000741 14.2 3.83 21.8 2.09 4.67 0.181 0.109 0.00115 0.100 0.0339
27.0 12 7.482786782947662 4.942339073943884 7.0 5.0 5.0 5.0 0.96 0.24 0.073 0.13 0.27 6.0 3.2 2.3 3.0 1.5 3.00 0.917 1.72 0.00 1.31 0.102 0.100 5.49e-07 0.100 0.000741 14.2 3.83 21.8 2.09 4.67 0.181 0.109 0.00115 0.100 0.0339
28.0 12 7.482786782947662 4.942339073943884 7.0 5.0 5.0 5.0 0.96 0.24 0.073 0.13 0.27 6.0 3.2 2.3 3.0 1.5 3.00 0.917 1.72 0.00 1.31 0.102 0.100 5.49e-07 0.100 0.000741 14.2 3.83 21.8 2.09 4.67 0.181 0.109 0.00115 0.100 0.0339
29.0 12 7.482786782947662 4.942339073943884 7.0 5.0 5.0 5.0 0.96 0.24 0.073 0.13 0.27 6.0 3.2 2.3 3.0 1.5 3.00 0.917 1.72 0.00 1.31 0.102 0.100 5.49e-07 0.100 0.000741 14.2 3.83 21.8 2.09 4.67 0.181 0.109 0.00115 0.100 0.0339
30.0 12 7.482786782947662 4.942339073943884 7.0 5.0 5.0 5.0 0.96 0.24 0.073 0.13 0.27 6.0 3.2 2.3 3.0 1.5 3.00 0.917 1.72 0.00 1.31 0.102 0.100 5.49e-07 0.100 0.000741 14.2 3.83 21.8 2.09 4.67 0.181 0.109 0.00115 0.100 0.0339
31.0 13 7.475830464348864 4.574047038525082 7.0 5.0 5.0 5.0 1.0 0.25 0.081 0.13 0.29 7.0 3.4 2.8 3.0 1.7 3.00 0.923 1.58 0.00 1.26 0.102 0.100 5.13e-07 0.100 0.000716 14.2 3.54 21.1 1.66 4.60 0.181 0.109 0.00106 0.100 0.0325
32.0 13 7.475830464348864 4.574047038525082 7.0 5.0 5.0 5.0 1.0 0.25 0.081 0.13 0.29 7.0 3.4 2.8 3.0 1.7 3.00 0.923 1.58 0.00 1.26 0.102 0.100 5.13e-07 0.100 0.000716 14.2 3.54 21.1 1.66 4.60 0.181 0.105 0.00132 0.100 0.0364
33.0 13 7.475830464348864 4.574047038525082 7.0 5.0 5.0 5.0 1.0 0.25 0.081 0.13 0.29 7.0 3.4 2.8 3.0 1.7 3.00 0.923 1.58 0.00 1.26 0.102 0.100 5.13e-07 0.100 0.000716 14.2 3.54 21.1 1.66 4.60 0.181 0.105 0.00132 0.100 0.0364
34.0 13 7.475830464348864 4.574047038525082 7.0 5.0 5.0 5.0 1.0 0.25 0.081 0.13 0.29 7.0 3.4 2.8 3.0 1.7 3.00 0.923 1.58 0.00 1.26 0.102 0.100 5.13e-07 0.100 0.000716 14.2 3.54 21.1 1.66 4.60 0.181 0.105 0.00132 0.100 0.0364
35.0 13 7.475830464348864 4.574047038525082 7.0 5.0 5.0 5.0 1.0 0.25 0.081 0.13 0.29 7.0 3.4 2.8 3.0 1.7 3.00 0.923 1.58 0.00 1.26 0.102 0.100 5.13e-07 0.100 0.000716 14.2 3.54 21.1 1.66 4.60 0.181 0.105 0.00132 0.100 0.0364
36.0 13 7.475830464348864 4.574047038525082 7.0 5.0 5.0 5.0 1.0 0.25 0.081 0.13 0.29 7.0 3.4 2.8 3.0 1.7 3.00 0.923 1.58 0.00 1.26 0.102 0.100 5.13e-07 0.100 0.000716 15.5 3.71 25.1 1.66 5.01 0.163 0.102 0.00109 0.100 0.0330
37.0 13 7.475830464348864 4.574047038525082 7.0 5.0 5.0 5.0 1.0 0.25 0.081 0.13 0.29 7.0 3.4 2.8 3.0 1.7 3.00 0.923 1.58 0.00 1.26 0.102 0.100 5.13e-07 0.100 0.000716 15.5 4.40 30.6 1.66 5.53 0.163 0.102 0.00109 0.100 0.0330
