#####################################################################
# Alchemist log file - simulation started at: 2025-03-03T13:28+0000 #
#####################################################################
#
# seed = 81.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord number-of-leaves network-diameter[max] network-diameter[mean] network-diameter[median] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] 
0.0 1 10.0 10.0 1.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN 0.0 0.0 0.0 0.0 0.0 0.00 0.00 0.00 0.00 0.00 NaN NaN NaN NaN NaN 3.00 3.00 0.00 3.00 0.00 NaN NaN NaN NaN NaN
0.0 2 8.754539688047226 7.8323218386138365 1.0 1.0 1.0 1.0 0.19 0.19 0.0 0.19 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.102 0.102 0.00 0.102 0.00 5.40 2.70 14.6 2.70 3.82 0.102 0.102 0.00 0.102 0.00
1.0 2 8.754539688047226 7.8323218386138365 1.0 1.0 1.0 1.0 0.19 0.19 0.0 0.19 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.102 0.101 1.71e-06 0.101 0.00131 68.8 38.2 1.87e+03 38.2 43.3 0.100 0.0751 0.00125 0.0751 0.0353
2.0 2 8.754539688047226 7.8323218386138365 1.0 1.0 1.0 1.0 0.19 0.19 0.0 0.19 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.102 0.101 1.71e-06 0.101 0.00131 61.9 34.7 1.48e+03 34.7 38.4 0.100 0.0751 0.00125 0.0751 0.0353
3.0 5 7.530648146338311 4.1325616372817935 3.0 2.0 2.0 2.0 0.46 0.21 0.032 0.14 0.18 4.0 2.4 1.3 2.0 1.1 3.00 0.800 1.70 0.00 1.30 0.102 0.100 6.92e-07 0.100 0.000832 61.9 13.9 731 0.00 27.0 0.100 0.0900 0.000498 0.100 0.0223
4.0 5 7.530648146338311 4.1325616372817935 3.0 2.0 2.0 2.0 0.46 0.21 0.032 0.14 0.18 4.0 2.4 1.3 2.0 1.1 3.00 0.800 1.70 0.00 1.30 0.102 0.100 6.92e-07 0.100 0.000832 15.0 4.91 49.1 0.00 7.00 0.150 0.105 0.000748 0.100 0.0273
5.0 5 7.530648146338311 4.1325616372817935 3.0 2.0 2.0 2.0 0.46 0.21 0.032 0.14 0.18 4.0 2.4 1.3 2.0 1.1 3.00 0.800 1.70 0.00 1.30 0.102 0.100 6.92e-07 0.100 0.000832 37.0 26.8 196 37.0 14.0 0.150 0.105 0.000748 0.100 0.0273
6.0 5 7.530648146338311 4.1325616372817935 3.0 2.0 2.0 2.0 0.46 0.21 0.032 0.14 0.18 4.0 2.4 1.3 2.0 1.1 3.00 0.800 1.70 0.00 1.30 0.102 0.100 6.92e-07 0.100 0.000832 37.0 26.8 196 37.0 14.0 0.150 0.105 0.000748 0.100 0.0273
7.0 8 4.335494101273261 3.6076608875334237 5.0 3.0 3.0 3.0 0.74 0.22 0.060 0.13 0.24 5.0 3.0 1.4 3.0 1.2 3.00 0.875 1.84 0.00 1.36 0.102 0.100 4.33e-07 0.100 0.000658 37.0 16.7 305 11.5 17.5 0.150 0.103 0.000434 0.100 0.0208
8.0 8 4.335494101273261 3.6076608875334237 5.0 3.0 3.0 3.0 0.74 0.22 0.060 0.13 0.24 5.0 3.0 1.4 3.0 1.2 3.00 0.875 1.84 0.00 1.36 0.102 0.100 4.33e-07 0.100 0.000658 37.0 16.7 305 11.5 17.5 0.150 0.109 0.000702 0.100 0.0265
9.0 8 4.335494101273261 3.6076608875334237 5.0 3.0 3.0 3.0 0.74 0.22 0.060 0.13 0.24 5.0 3.0 1.4 3.0 1.2 3.00 0.875 1.84 0.00 1.36 0.102 0.100 4.33e-07 0.100 0.000658 37.0 17.0 301 12.3 17.4 0.175 0.114 0.000956 0.100 0.0309
10.0 8 4.335494101273261 3.6076608875334237 5.0 3.0 3.0 3.0 0.74 0.22 0.060 0.13 0.24 5.0 3.0 1.4 3.0 1.2 3.00 0.875 1.84 0.00 1.36 0.102 0.100 4.33e-07 0.100 0.000658 15.7 10.5 27.4 11.7 5.23 0.175 0.114 0.000956 0.100 0.0309
11.0 8 4.335494101273261 3.6076608875334237 5.0 3.0 3.0 3.0 0.74 0.22 0.060 0.13 0.24 5.0 3.0 1.4 3.0 1.2 3.00 0.875 1.84 0.00 1.36 0.102 0.100 4.33e-07 0.100 0.000658 15.7 10.5 27.4 11.7 5.23 0.175 0.114 0.000956 0.100 0.0309
12.0 8 4.335494101273261 3.6076608875334237 5.0 3.0 3.0 3.0 0.74 0.22 0.060 0.13 0.24 5.0 3.0 1.4 3.0 1.2 3.00 0.875 1.84 0.00 1.36 0.102 0.100 4.33e-07 0.100 0.000658 15.7 10.5 27.4 11.7 5.23 0.175 0.114 0.000956 0.100 0.0309
13.0 11 2.684774975156255 4.628409350002158 7.0 4.0 4.0 4.0 1.0 0.24 0.087 0.10 0.29 6.0 3.3 2.2 3.0 1.5 3.00 0.909 1.89 0.00 1.38 0.102 0.100 3.10e-07 0.100 0.000557 15.7 7.63 43.2 5.74 6.57 0.175 0.110 0.000712 0.100 0.0267
14.0 11 2.684774975156255 4.628409350002158 7.0 4.0 4.0 4.0 1.0 0.24 0.087 0.10 0.29 6.0 3.3 2.2 3.0 1.5 3.00 0.909 1.89 0.00 1.38 0.102 0.100 3.10e-07 0.100 0.000557 15.7 7.63 43.2 5.74 6.57 0.175 0.115 0.000837 0.100 0.0289
15.0 11 2.684774975156255 4.628409350002158 7.0 4.0 4.0 4.0 1.0 0.24 0.087 0.10 0.29 6.0 3.3 2.2 3.0 1.5 3.00 0.909 1.89 0.00 1.38 0.102 0.100 3.10e-07 0.100 0.000557 15.7 7.63 43.2 5.74 6.57 0.175 0.117 0.00107 0.100 0.0327
16.0 11 2.684774975156255 4.628409350002158 7.0 4.0 4.0 4.0 1.0 0.24 0.087 0.10 0.29 6.0 3.3 2.2 3.0 1.5 3.00 0.909 1.89 0.00 1.38 0.102 0.100 3.10e-07 0.100 0.000557 15.7 7.94 46.4 5.74 6.81 0.188 0.119 0.00120 0.100 0.0346
17.0 11 2.684774975156255 4.628409350002158 7.0 4.0 4.0 4.0 1.0 0.24 0.087 0.10 0.29 6.0 3.3 2.2 3.0 1.5 3.00 0.909 1.89 0.00 1.38 0.102 0.100 3.10e-07 0.100 0.000557 12.8 5.99 15.5 5.65 3.93 0.188 0.119 0.00120 0.100 0.0346
18.0 11 2.684774975156255 4.628409350002158 7.0 4.0 4.0 4.0 1.0 0.24 0.087 0.10 0.29 6.0 3.3 2.2 3.0 1.5 3.00 0.909 1.89 0.00 1.38 0.102 0.100 3.10e-07 0.100 0.000557 12.8 5.99 15.5 5.65 3.93 0.188 0.119 0.00120 0.100 0.0346
19.0 11 2.684774975156255 4.628409350002158 7.0 4.0 4.0 4.0 1.0 0.24 0.087 0.10 0.29 6.0 3.3 2.2 3.0 1.5 3.00 0.909 1.89 0.00 1.38 0.102 0.100 3.10e-07 0.100 0.000557 12.8 5.99 15.5 5.65 3.93 0.188 0.119 0.00120 0.100 0.0346
20.0 11 2.684774975156255 4.628409350002158 7.0 4.0 4.0 4.0 1.0 0.24 0.087 0.10 0.29 6.0 3.3 2.2 3.0 1.5 3.00 0.909 1.89 0.00 1.38 0.102 0.100 3.10e-07 0.100 0.000557 12.8 5.99 15.5 5.65 3.93 0.188 0.119 0.00120 0.100 0.0346
21.0 12 2.4439631612525017 5.346386929830531 7.0 5.0 5.0 5.0 1.1 0.24 0.097 0.11 0.31 6.0 3.3 1.9 3.0 1.4 3.00 0.917 1.72 0.00 1.31 0.105 0.101 2.07e-06 0.100 0.00144 12.8 5.49 17.0 4.46 4.13 0.188 0.118 0.00110 0.100 0.0332
22.0 12 2.4439631612525017 5.346386929830531 7.0 5.0 5.0 5.0 1.1 0.24 0.097 0.11 0.31 6.0 3.3 1.9 3.0 1.4 3.00 0.917 1.72 0.00 1.31 0.105 0.101 2.07e-06 0.100 0.00144 12.8 5.49 17.0 4.46 4.13 0.188 0.114 0.00144 0.100 0.0380
23.0 12 2.4439631612525017 5.346386929830531 7.0 5.0 5.0 5.0 1.1 0.24 0.097 0.11 0.31 6.0 3.3 1.9 3.0 1.4 3.00 0.917 1.72 0.00 1.31 0.105 0.101 2.07e-06 0.100 0.00144 12.8 5.49 17.0 4.46 4.13 0.188 0.112 0.00133 0.100 0.0365
24.0 12 2.4439631612525017 5.346386929830531 7.0 5.0 5.0 5.0 1.1 0.24 0.097 0.11 0.31 6.0 3.3 1.9 3.0 1.4 3.00 0.917 1.72 0.00 1.31 0.105 0.101 2.07e-06 0.100 0.00144 12.8 5.49 17.0 4.46 4.13 0.188 0.111 0.00121 0.100 0.0348
25.0 12 2.4439631612525017 5.346386929830531 7.0 5.0 5.0 5.0 1.1 0.24 0.097 0.11 0.31 6.0 3.3 1.9 3.0 1.4 3.00 0.917 1.72 0.00 1.31 0.105 0.101 2.07e-06 0.100 0.00144 14.2 5.73 21.1 4.46 4.59 0.182 0.110 0.00114 0.100 0.0337
26.0 12 2.4439631612525017 5.346386929830531 7.0 5.0 5.0 5.0 1.1 0.24 0.097 0.11 0.31 6.0 3.3 1.9 3.0 1.4 3.00 0.917 1.72 0.00 1.31 0.105 0.101 2.07e-06 0.100 0.00144 14.2 3.85 21.8 2.17 4.67 0.182 0.110 0.00114 0.100 0.0337
27.0 12 2.4439631612525017 5.346386929830531 7.0 5.0 5.0 5.0 1.1 0.24 0.097 0.11 0.31 6.0 3.3 1.9 3.0 1.4 3.00 0.917 1.72 0.00 1.31 0.105 0.101 2.07e-06 0.100 0.00144 14.2 3.85 21.8 2.17 4.67 0.182 0.110 0.00114 0.100 0.0337
28.0 12 2.4439631612525017 5.346386929830531 7.0 5.0 5.0 5.0 1.1 0.24 0.097 0.11 0.31 6.0 3.3 1.9 3.0 1.4 3.00 0.917 1.72 0.00 1.31 0.105 0.101 2.07e-06 0.100 0.00144 14.2 3.85 21.8 2.17 4.67 0.182 0.110 0.00114 0.100 0.0337
29.0 12 2.4439631612525017 5.346386929830531 7.0 5.0 5.0 5.0 1.1 0.24 0.097 0.11 0.31 6.0 3.3 1.9 3.0 1.4 3.00 0.917 1.72 0.00 1.31 0.105 0.101 2.07e-06 0.100 0.00144 14.2 3.85 21.8 2.17 4.67 0.182 0.110 0.00114 0.100 0.0337
30.0 12 2.4439631612525017 5.346386929830531 7.0 5.0 5.0 5.0 1.1 0.24 0.097 0.11 0.31 6.0 3.3 1.9 3.0 1.4 3.00 0.917 1.72 0.00 1.31 0.105 0.101 2.07e-06 0.100 0.00144 14.2 3.85 21.8 2.17 4.67 0.182 0.110 0.00114 0.100 0.0337
31.0 13 3.3452189843675866 4.799931351956165 7.0 6.0 6.0 6.0 1.2 0.24 0.11 0.12 0.33 6.0 3.2 2.0 3.0 1.4 3.00 0.923 1.58 0.00 1.26 0.105 0.101 1.92e-06 0.100 0.00139 14.2 3.55 21.1 1.68 4.60 0.182 0.109 0.00105 0.100 0.0324
32.0 13 3.3452189843675866 4.799931351956165 7.0 6.0 6.0 6.0 1.2 0.24 0.11 0.12 0.33 6.0 3.2 2.0 3.0 1.4 3.00 0.923 1.58 0.00 1.26 0.105 0.101 1.92e-06 0.100 0.00139 14.2 3.55 21.1 1.68 4.60 0.182 0.105 0.00132 0.100 0.0363
33.0 13 3.3452189843675866 4.799931351956165 7.0 6.0 6.0 6.0 1.2 0.24 0.11 0.12 0.33 6.0 3.2 2.0 3.0 1.4 3.00 0.923 1.58 0.00 1.26 0.105 0.101 1.92e-06 0.100 0.00139 14.2 3.55 21.1 1.68 4.60 0.182 0.105 0.00132 0.100 0.0363
34.0 13 3.3452189843675866 4.799931351956165 7.0 6.0 6.0 6.0 1.2 0.24 0.11 0.12 0.33 6.0 3.2 2.0 3.0 1.4 3.00 0.923 1.58 0.00 1.26 0.105 0.101 1.92e-06 0.100 0.00139 14.2 3.55 21.1 1.68 4.60 0.182 0.105 0.00132 0.100 0.0363
